Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
Ubermedia,privacy [at] ubermedia.com,http://www.ubermedia.com,,,"130 west union streetpasadena, CA 91103United States",Consumers should go to https://ubermedia.com/general-privacy-policy/ to submit CCPA requests. Consumers may also email privacy@ubermedia.com,Consumers should go to https://ubermedia.com/general-privacy-policy/ to submit CCPA requests. Consumers may also email privacy@ubermedia.com,"We collect mobile location data in compliance with all current US privacy laws, our privacy policy, and CCPA. We collect data from a variety of sources. All purchased data sources are explicitly in compliance with CCPA and GDPR. We have obtained a signed attestation from our third party vendors explicitly affirming their compliance.",02/27/2020,,,,,,
"Unacast, Inc.",Kjartan.slette [at] unacast.com,https://www.unacast.com/,,,"245 Fifth AvenueSuite 1101New York, NY 10016United States","Consumers may make use of a webform maintained on the Unacast website at https://www.unacast.com/opt-out. Requests to know, delete, and opt-out may be submitted through this webform per the consumer's designation. 

Consumers may also submit general privacy requests to privacy@unacast.com.","Unacast does not maintain or provide to its clients the home address, telephone number, or image of any individual. However, deletion requests may generally be submitted by any individual to privacy@unacast.com or in writing to: 

Unacast, Inc.
245 Fifth Avenue, Suite 1101
New York, NY 10016","Unacast's full data collection, use, and disclosure practices are described in detail in its online privacy policy, available at: https://www.unacast.com/privacy.",02/27/2020,,,,,,
unidentified number,,,,,,,,,,13 Apr 2020,,,,,
Unity Technologies SF,dpo [at] unity3d.com,https://unity.com/,,,"30 3rd StreetSan Francisco, CA 94103United States",We have provided instructions to opt-out and obtain data reports at https://unity3d.com/legal/do-not-sell-my-personal-information.,Submit a request to dpo@unity3d.com,Please see our privacy policy at https://unity3d.com/legal/privacy-policy,03/03/2020,,,,,,
UpLead,team [at] uplead.com,https://www.uplead.com,,,"340 S Lemon Ave Ste 1022Walnut, CA 91789United States","Consumers may opt out by emailing: team@uplead.com

Or mailing a request to:

UpLead LLC
Attn: Privacy Officer
340 S Lemon Ave Ste 1022
Walnut, CA 91789","Consumers may opt out by emailing: team@uplead.com

Or mailing a request to:

UpLead LLC
Attn: Privacy Officer
340 S Lemon Ave Ste 1022
Walnut, CA 91789","Our data collection practices can be found here: 

https://www.uplead.com/privacy/
https://www.uplead.com/our-data/",03/19/2020,,,,,,
US Data Corporation,erich [at] usdatacorporation.com,https://www.usdatacorporation.com,,,"31330 Oak Crest DriveSuite 102Westlake Village, CA 91361United States","US Data Corporation provides multiple methods by which a consumer may exercise their rights under the CCPA. 1) Consumers can search, view, print, copy, and comment on their individual information by visiting either http://transparency.usdatacorporation.com or http://www.seemyinfo.com 2) Consumers may also call us toll free at (888) 205-1623 3) Consumers may e-mail their request to privacy@usdatacorporation.com and 4) Consumers may bypass a review of their personal data and visit https://usdatacorporation.com/opt-out. 5) Consumers may write to: US Data Corporation, 31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91301","1) Consumers may demand deletion of personal information via form submission at https://usdatacorporation.com/opt-out 2) Consumers may also call toll free at (888) 205-1623 3) Consumers may e-mail instructions to privacy@usdatacorporation.com and 4) Consumers may write to: US Data Corporation, 31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91301",Additional information about US Data Corporation's data collection practices may be found at: https://www.usdatacorporation.com/privacy-policy and https://www.usdatacorporation.com/do-not-sell-my-info,01/23/2020,,,,,,
US Marketing Group,arash [at] usmarketinggrp.com,http://www.usmarketinggrp.com,,,"5435 Balboa Blvd, suite 201Encino, CA 91316United States","In process of building new site.

Exercising Access, Data Portability, and Deletion Rights
To exercise the access, data portability, and deletion rights described above, please submit a request to us by either:
• Visiting www.usmarketinggrp.com
• Emailing us at Info@usmarketinggrp.com
• Call us at 1-866-581-4810 ext 102
 
The request should include your contact information and describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it. In addition, you should provide sufficient information that allows us to reasonably verify that you are the person about whom we collected the personal information or an authorized representative.
 
For more information about verification, see Response Timing and Format . For instructions on exercising sale opt-out rights, see Personal Information Sales Opt-Out and Opt-In Rights","In process of building new site.

Exercising Access, Data Portability, and Deletion Rights
To exercise the access, data portability, and deletion rights described above, please submit a request to us by either:
• Visiting www.usmarketinggrp.com
• Emailing us at Info@usmarketinggrp.com
• Call us at 1-866-581-4810 ext 102
 
The request should include your contact information and describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it. In addition, you should provide sufficient information that allows us to reasonably verify that you are the person about whom we collected the personal information or an authorized representative.
 
For more information about verification, see Response Timing and Format . For instructions on exercising sale opt-out rights, see Personal Information Sales Opt-Out and Opt-In Rights",All data we License is either opt in through a landing page or public information. We do not aggregate any data ourselves.,02/27/2020,,,,,,
us phone book,,,,,,,,,,13 Apr 2020,,,,,
US Search.com,,,,http://www.ussearch.com/consumer/ala/landing.do?did=590,,Look up your information. Fax or mail information requested.,,,,13 Apr 2020,,14 Apr 2020,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
USA People Search,,,,http://www.usa-people-search.com/help.aspx#p3,,Look up your information. Mail information requested.,,,,,,14 Apr 2020,,,
"USADATA, Inc.",privacy [at] usadata.com,http://www.usadata.com,,,"875 Third Ave, Ste 6ANew York, NY 10022United States","Consumers may submit requests under CCPA to USADATA by emailing privacy@usadata.com, by calling (800) 395-7707 or by postal mail:
 
USADATA, Inc.
Attn: CCPA / Privacy
875 Third Ave, Ste 6A
New York, NY 10022",USADATA does not publicly post or display on the Internet the home addresses or telephone numbers of U.S. residents.,"USADATA only collects personal information directly from its clients, or from reputable third-party data sources that adhere to rigorous consumer privacy standards, and only uses that information (a) to provide services to the client from whom, or on whose behalf, it collected the information, or (b) for other limited purposes permitted by the CCPA. 
 
USADATA does not, on behalf of any business, sell the personal information of any consumer whom USADATA knows has opted-out of the sale of their personal information by that business. 
 
USADATA does not compile or host a permanent database of personal information.",03/09/2020,,,,,,
"Valassis Communications, Inc. (NYSE:VCI)",,,,http://www.valassis.com/1024/Contact/MailingListRemoval.aspx,,"Email, mail, or telephone information requested.",,,,,,14 Apr 2020,,,RedPlum?
Veeva Systems Inc.,ccpa [at] veeva.com,https://www.veeva.com,,,"4280 Hacienda DrivePleasanton, CA 94588United States","Consumers may opt out of sale or submit requests under the CCPA through the various methods explained on our privacy page: 

https://www.veeva.com/privacy/ccpa/",Veeva does not post any personal information online under Gov. Code sections 6208.1(b) or 6254.21(c)(1).,"For Veeva OpenData or Veeva Oncology Link, Veeva is a Business selling Personal Information under the CCPA. For all other Veeva software and analytics solutions, such as Veeva CRM and Veeva Vault, Veeva is a Service Provider. We do not sell or disclose any Personal Information collected, disclosed, or otherwise processed by our software and analytics solutions.

For more information about Veeva's privacy practices, please visit:

https://www.veeva.com/privacy/",02/12/2020,,,,,,
"Venntel, Inc.",legal [at] venntel.com,http://Venntel.com,,,"2201 Cooperative WaySuite 600Herndon, VA 20166United States","For any requests related to the CCPA, a protected individual may contact us by any of the following mechanisms:

1) Emailing us at legal@venntel.com; or
2) Calling the following toll-free number: 877-717-9985
 
In addition, a consumer may opt-out of the sale of their personal information by filling out Venntel’s Opt-Out and Do not Sell form, available at: https://www.venntel.com/opt-out. The form provides instructions for a consumer to identify their Mobile Advertiser Id (this is the ID Venntel utilizes in its provision of data services). Upon receipt of an opt-out request, Venntel will remove all data in our data sets related to such Mobile Advertiser Id.
A consumer may also visit our website to submit a right to know request under the CCPA (https://www.venntel.com/right-to-know).","A protected individual may submit a deletion request by:

1) Emailing us at legal@venntel.com;
2) Calling the following toll-free number: 877-717-9985; or
3) Submitting the Opt-Out and Do not Sell form (available at, https://www.venntel.com/opt-out)","Venntel takes consumers’ privacy seriously. Our third data providers are appropriately vetted, and are contractually bound to represent and warrant they have complied with all applicable laws as it relates to their collection, use, and transfer of consumer personal information. Please visit our Privacy Policy at https://www.venntel.com/privacy-policy for more information on our privacy practices and your rights.",04/01/2020,,369842,,,,"Venntel, Inc."
